which;accuracy;precision;recall;fmeasure;precision_weighted;recall_weighted;fmeasure_weighted;precision_macro;recall_macro;fmeasure_macro;matthews_corrcoef
bertlegal4-10-10.5-0.0079556122139704-Precision;0.9771689497716894;1.0;0.375;0.5454545454545454;0.9776974463047522;0.9771689497716894;0.9721137459740649;0.9884259259259259;0.6875;0.7668724717905046;0.6052432935972479
bertlegal4-10-11.0-0.0025531830116206-Precision;0.9771689497716894;1.0;0.375;0.5454545454545454;0.9776974463047522;0.9771689497716894;0.9721137459740649;0.9884259259259259;0.6875;0.7668724717905046;0.6052432935972479
bertlegal4-10-23.0-0.0057751530722064-PRAUC;0.958904109589041;0.4444444444444444;0.5;0.47058823529411764;0.961353917518301;0.958904109589041;0.9600640047773901;0.7126984126984126;0.7381516587677726;0.7246052815425458;0.4501310022711132
bertlegal4-10-23.5-0.0066044845781436-PRAUC;0.958904109589041;0.4444444444444444;0.5;0.47058823529411764;0.961353917518301;0.958904109589041;0.9600640047773901;0.7126984126984126;0.7381516587677726;0.7246052815425458;0.4501310022711132
bertlegal4-10-24.0-0.0040692424700062-PRAUC;0.958904109589041;0.4444444444444444;0.5;0.47058823529411764;0.961353917518301;0.958904109589041;0.9600640047773901;0.7126984126984126;0.7381516587677726;0.7246052815425458;0.4501310022711132
bertlegal4-10-24.0-0.0046230664812374-PRAUC;0.958904109589041;0.4444444444444444;0.5;0.47058823529411764;0.961353917518301;0.958904109589041;0.9600640047773901;0.7126984126984126;0.7381516587677726;0.7246052815425458;0.4501310022711132
bertlegal4-10-24.0-0.0096033335447565-PRAUC;0.9634703196347032;0.5;0.5;0.5;0.9634703196347032;0.9634703196347032;0.9634703196347032;0.740521327014218;0.740521327014218;0.740521327014218;0.48104265402843605
bertlegal4-10-25.0-0.0031293995779258-PRAUC;0.958904109589041;0.4444444444444444;0.5;0.47058823529411764;0.961353917518301;0.958904109589041;0.9600640047773901;0.7126984126984126;0.7381516587677726;0.7246052815425458;0.4501310022711132
bertlegal4-10-25.0-0.0036825160229966-PRAUC;0.958904109589041;0.4444444444444444;0.5;0.47058823529411764;0.961353917518301;0.958904109589041;0.9600640047773901;0.7126984126984126;0.7381516587677726;0.7246052815425458;0.4501310022711132
bertlegal4-10-25.0-0.0037587180574478-PRAUC;0.958904109589041;0.4444444444444444;0.5;0.47058823529411764;0.961353917518301;0.958904109589041;0.9600640047773901;0.7126984126984126;0.7381516587677726;0.7246052815425458;0.4501310022711132
bertlegal4-10-25.0-0.0040468221332456-PRAUC;0.958904109589041;0.4444444444444444;0.5;0.47058823529411764;0.961353917518301;0.958904109589041;0.9600640047773901;0.7126984126984126;0.7381516587677726;0.7246052815425458;0.4501310022711132
bertlegal4-10-25.0-0.0049031019943241-PRAUC;0.958904109589041;0.4444444444444444;0.5;0.47058823529411764;0.961353917518301;0.958904109589041;0.9600640047773901;0.7126984126984126;0.7381516587677726;0.7246052815425458;0.4501310022711132
bertlegal4-10-25.0-0.0083166941661307-PRAUC;0.958904109589041;0.45454545454545453;0.625;0.5263157894736842;0.9661785132675543;0.958904109589041;0.9620014006638528;0.7200611888111889;0.798281990521327;0.7524180379349328;0.512407218665354
bertlegal4-10-25.0-0.0999499737610042-PRAUC;0.9771689497716894;0.8;0.5;0.6153846153846154;0.9746852729057314;0.9771689497716894;0.9746151779995456;0.8906542056074767;0.7476303317535544;0.8018099547511313;0.6220541151234376
bertlegal4-10-9.5-0.003325223006577-Precision;0.9771689497716894;1.0;0.375;0.5454545454545454;0.9776974463047522;0.9771689497716894;0.9721137459740649;0.9884259259259259;0.6875;0.7668724717905046;0.6052432935972479
beto4-2-20.5-0.0019088591198098-Precision;0.9726027397260274;0.75;0.375;0.5;0.9684612934055431;0.9726027397260274;0.9681651553154544;0.8633720930232558;0.6851303317535544;0.7429577464788732;0.5187338282062538
beto4-2-22.5-0.0011970424904099-Precision;0.9634703196347032;0.5;0.375;0.42857142857142855;0.9591184856475229;0.9634703196347032;0.9609472116579896;0.738262910798122;0.6803909952606635;0.7048517520215634;0.414634700007493
